code,areaName,cx,cy,vBad,bad,fair,good,vGood,N/A
E06000053,Isles of Scilly,91546,11139,0.8,2.5,9.1,31,56.6,0
E09000001,City of London,532539,181164,0.7,2.4,9.1,31.2,56.6,0
